,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
1511,Zoctr Health,Unknown,Powai,Hospitality,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Unknown,Unknown,1300000.0,Pre-series A,2018
1512,Hey Deedee,Unknown,Mumbai,Transport,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Unknown,Unknown,478260.8695652174,Pre-series A,2018
1513,DigiConnectt Technologys,Unknown,Bangalore,Business Intelligence,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Unknown,Unknown,125000.0,Pre-series A,2018
1514,Locus.sh,Unknown,Bangalore,Transport,Locus is an intelligent logistics automation platform.,Unknown,Unknown,4000000.0,Series A,2018
1515,Sports Flashes Pvt. Ltd,Unknown,New Delhi,LifeStyle,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Unknown,Unknown,1000000.0,Pre-series A,2018
1516,Inc42,Unknown,New Delhi,Media & Entertainment,Inc42 is one of the leading tech media publications of India.,Unknown,Unknown,1300000.0,Pre-series A,2018
1517,Picxy,Unknown,Guntur,Technology,"A stock photo startup based in Amravati, Andhra Pradesh.",Unknown,Unknown,130000.0,Pre-series A,2018
1518,Huddle,Unknown,Haryana,Business Intelligence,A coworking incubator Company.,Unknown,Unknown,300000.0,Pre-series A,2018
1519,Benepik,Unknown,Gurgaon,Business Intelligence,HR Technology start-up.,Unknown,Unknown,1300000.0,Pre-series A,2018
1520,Cash Suvidha,Unknown,New Delhi,Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Unknown,Unknown,1000000.0,Pre-series A,2018
1521,Smartcoin,Unknown,Bangalore,Finance,Providing financial access to the millions of mobile users in India using alternative credit assessment,Unknown,Unknown,2000000.0,Pre-series A,2018
1522,Carmel Organics,Unknown,Indore,Agriculture,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Unknown,Unknown,1300000.0,Series A,2018
1523,Roadcast,Unknown,New Delhi,—,Transforming the way businesses deliver. Work-force & fleet mobility tools.,Unknown,Unknown,250000.0,Angel Round,2018
1524,Printline Media(ThePrint),Unknown,New Delhi,Media & Entertainment,A digital news platform.,Unknown,Unknown,505797.1014492754,Pre-series A,2018
1525,Creditas Solutions,Unknown,Gurgaon,Finance,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Unknown,Unknown,1300000.0,Pre-series A,2018
1526,UrbanPiper,Unknown,Bangalore,Technology,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Unknown,Unknown,1300000.0,Pre-series A,2018
1527,Doxper,Unknown,Mumbai,Hospitality,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Unknown,Unknown,1043478.2608695652,Pre-series A,2018
1528,i2ifunding,Unknown,Noida,Finance,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Unknown,Unknown,724637.6811594203,Angel Round,2018
1529,ShakeDeal,Unknown,Bangalore,Commerce,Home of B2B Commerce,Unknown,Unknown,1300000.0,Pre-series A,2018
1530,HelloVerify,Unknown,Noida,Business Intelligence,HelloVerify is an online background check platform.,Unknown,Unknown,1300000.0,Pre-series A,2018
1531,Fasal,Unknown,Bangalore,Education,Climate Smart Precision Agriculture Platform,Unknown,Unknown,120000.0,Pre-series A,2018
1532,CoinGeto,Unknown,New Delhi,Finance,CoinGeto is one of India’s most advanced digital assets exchange.,Unknown,Unknown,1739130.4347826086,Pre-series A,2018
1533,Avail Finance,Unknown,Bangalore,Finance,Avail is a mobile-first platform aiming to financially include the urban mass of India.,Unknown,Unknown,17200000.0,Series A,2018
1534,Tripeur,Unknown,Bangalore,Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Unknown,Unknown,600000.0,Pre-series A,2018
1535,Wedeterna,Unknown,Bangalore,Hospitality,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Unknown,Unknown,1300000.0,Angel Round,2018
1536,Stumagz,Unknown,Hyderabad,Media & Entertainment,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Unknown,Unknown,1300000.0,Pre-series A,2018
1537,Doubtnut,Unknown,Gurgaon,Education,Gurgaon based E-learning platform.,Unknown,Unknown,507246.37681159424,Pre-series A,2018
1538,MCaffeine,Unknown,Mumbai,Commerce,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Unknown,Unknown,463768.115942029,Pre-series A,2018
1539,TrustCheckr,Unknown,Bangalore,Technology,A Bengaluru-based fraud analytics solution provider .,Unknown,Unknown,100000.0,Angel Round,2018
1540,HealthAssure,Unknown,Mumbai,LifeStyle,HealthAssure provides access to Discounted & High Quality primary care medical network.,Unknown,Unknown,1000000.0,Pre-series A,2018
1541,Picture TIme,Unknown,New Delhi,Media & Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,Unknown,Unknown,3623188.4057971016,Pre-series A,2018
1542,1Crowd,Unknown,Mumbai,Finance,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Unknown,Unknown,3500000.0,Angel Round,2018
1543,Aarav Unmanned Systems,Unknown,Bangalore,Manufacturing,Professional Drones for Enterprise Applications,Unknown,Unknown,1300000.0,Pre-series A,2018
1544,Wellthy Therapeutics Pvt Ltd,Unknown,Mumbai,Hospitality,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Unknown,Unknown,1956521.7391304348,Pre-series A,2018
1545,Nua,Unknown,Mumbai,Commerce,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Unknown,Unknown,1300000.0,Pre-series A,2018
1546,Kuvera.in,Unknown,Bangalore,Finance,An online platform for mutual fund investments.,Unknown,Unknown,250000.0,Angel Round,2018
1547,Livehealth,Unknown,Pune,Business Intelligence,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Unknown,Unknown,1100000.0,Pre-series A,2018
1548,Gramophone,Unknown,Indore,Agriculture,An agricultural inputs startup Company.,Unknown,Unknown,1000000.0,Pre-series A,2018
1549,Ora,Unknown,Kolkata,Hospitality,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Unknown,Unknown,1300000.0,Pre-series A,2018
