,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
299,Euler Motors,2016.0,New Delhi,Transport,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000.0,Series A,2020
300,Khatabook,2016.0,Bangalore,Finance,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,60000000.0,Series B,2020
301,LendingKart,2014.0,Ahmedabad,Finance,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D,2020
302,Eggoz,2017.0,Bihar,Agriculture,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",329000.0,Pre-series A,2020
303,Indian School Finance Company,2016.0,Hyderabad,Finance,NBFC that provides funding to education system,Unknown,Gray Matters Capital,5271000.0,Pre-series A,2020
304,Intello Labs,2016.0,Gurgaon,Commerce,Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000.0,Series A,2020
305,SirionLabs,2012.0,Gurgaon,Technology,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital",44000000.0,Series C,2020
306,Refrens,2019.0,Bangalore,Technology,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Pre-series A,2020
307,Mintoak,2016.0,Mumbai,Finance,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,2000000.0,Pre-series A,2020
308,Vernacular ai,2016.0,Bangalore,Technology,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",5100000.0,Series A,2020
309,Varthana,2016.0,Bangalore,Finance,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,15000000.0,Series D,2020
310,Rooter,2016.0,New Delhi,Manufacturing,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre-series A,2020
311,Pratilipi,2014.0,Bangalore,Media & Entertainment,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,9400000.0,Series C,2020
312,Biryani By Kilo,2016.0,New Delhi,Food & Beverages,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series B,2020
313,Tessol,2016.0,Mumbai,Transport,It provides end to end cold chain logistics solutions,Rajat Gupta,1Funds Domestic Scheme,160000.0,Series A,2020
314,Classplus,2008.0,New Delhi,Education,"It provides mobile-first software for coaching institutes, tuition centres and private tutors","Mukul Rustagi, Bhaswat Agarwal",RTP Global,8200000.0,Series B,2020
315,MYSUN,2015.0,New Delhi,Technology,Platform for rooftop solar energy solutions,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,4257000.0,Pre-series A,2020
316,NewsBytes,2016.0,Gurgaon,Media & Entertainment,News portal,"Romesh Khaddar, Shikha Chaudhry, Sumedh Chaudhry",North Base Media,1500000.0,Series A,2020
317,Convosight,2019.0,Hyderabad,Business Intelligence,It helps business gain insights from its community on Facebook groups,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",4000000.0,Pre-series A,2020
318,Bira91,2015.0,Bangalore,Food & Beverages,Craft beer maker,Ankur Jain,"Sequoia Capital, Sofina",20000000.0,Series C,2020
319,Guvi Geek Network Pvt Ltd,2014.0,Chennai,Education,Operates vernacular-language based education,"SP Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,786000.0,Pre-series A,2020
320,LoadShare,2017.0,Bangalore,Transport,Provides technology based solutions to SMEs in logistics,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,2004000.0,Series B,2020
321,Vedantu,2016.0,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",KB Global Platform Firm,6800000.0,Series C,2020
322,Spintly,2017.0,Goa,Technology,It is a wireless cloud-based access control system,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,248000.0,Pre-series A,2020
323,Bijak,2016.0,Gurgaon,Agriculture,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics","Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,12000000.0,Series A,2020
324,Yap,2016.0,Chennai,Finance,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu",BeeNext,4500000.0,Series A,2020
325,ITILITE,2016.0,Bangalore,Hospitality,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020
326,Aavenir,2019.0,Ahmedabad,Technology,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Pre-series A,2020
327,Yellow Messenger,2016.0,Bangalore,Technology,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020
328,Wellthy Therapeutics,2016.0,Bangalore,Health,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,4000000.0,Pre-series A,2020
329,FarEye,2016.0,New Delhi,Transport,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Series D,2020
330,BankBazaar,2008.0,Chennai,Finance,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,2020
331,Porter,2014.0,Mumbai,Transport,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,18370000.0,Series D,2020
332,Capital Float,2013.0,Bangalore,Finance,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,2020
333,Vedantu,2016.0,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Series C,2020
334,Lido Learning,2016.0,Mumbai,Education,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series B,2020
335,Swiggy,2014.0,Bangalore,Food & Beverages,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,2020
336,JusPay,2016.0,Bangalore,Finance,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,21600000.0,Series B,2020
337,Fingpay,2016.0,Mumbai,Finance,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,3500000.0,Series A,2020
338,Recko,2017.0,Bangalore,Technology,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series A,2020
339,Camp K12,2016.0,Gurgaon,Education,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Pre-series A,2020
340,MedGenome,2013.0,Bangalore,Health,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Series D,2020
341,CureFit,2016.0,Bangalore,LifeStyle,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Series D,2020
342,Design X,2016.0,Noida,Technology,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,200000.0,Pre-series A,2020
343,Imstrong,2019.0,Bangalore,LifeStyle,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Pre-series A,2020
344,QTalk,2016.0,Bangalore,Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Pre-series A,2020
345,Shadez,2018.0,Mumbai,LifeStyle,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Pre-series A,2020
346,Stanplus,2016.0,Hyderabad,Health,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Pre-series A,2020
347,Pitstop,2016.0,Bangalore,Technology,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,2500000.0,Series A,2020
348,CoreStack,2016.0,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Series A,2020
349,Vivriti Capital,2017.0,Chennai,Finance,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Series B,2020
350,Agnikul,2016.0,Chennai,Technology,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,3148000.0,Pre-series A,2020
351,ZunRoof,2016.0,Gurgaon,Technology,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series A,2020
352,FamPay,2016.0,Bangalore,Finance,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Pre-series A,2020
353,UnboxRobotics Labs,2016.0,Bangalore,Manufacturing,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000.0,Pre-series A,2020
354,Karbon Card,2016.0,Bangalore,Finance,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Pre-series A,2020
355,Strata,2019.0,Bangalore,Technology,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Pre-series A,2020
356,Salesken,2016.0,Bangalore,Technology,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series A,2020
357,Arya,2016.0,Noida,Agriculture,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000.0,Series B,2020
358,Tricog,2015.0,Bangalore,Health,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B,2020
359,Trell,2016.0,Bangalore,Commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Pre-series A,2020
360,Spaciya Consultants,2016.0,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,500000.0,Pre-series A,2020
361,Chqbook,2017.0,Gurgaon,Finance,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000.0,Series A,2020
362,SMEcorner,2014.0,Mumbai,Finance,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,30000000.0,Series B,2020
363,Spinny,2015.0,Haryana,Commerce,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B,2020
364,Umeed Housing,2016.0,Haryana,Finance,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Series D,2020
365,Vogo,2016.0,Bangalore,Transport,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000.0,Series C,2020
366,Flick Stree,2016.0,Mumbai,Media & Entertainment,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000.0,Series A,2020
367,Josh Talks,2015.0,Haryana,Media & Entertainment,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,1500000.0,Pre-series A,2020
368,AjnaLens,2014.0,Thane,Technology,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000.0,Pre-series A,2020
369,Pepper,2017.0,Mumbai,Commerce,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900.0,Pre-series A,2020
370,iMerit,2012.0,Kolkata,Technology,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,20000000.0,Series B,2020
371,BharatPe,2018.0,New Delhi,Finance,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000.0,Series C,2020
372,Near Store,2016.0,Mumbai,Commerce,Enables a shop to create an online presence,Unknown,Sauce.vc,300000.0,Pre-series A,2020
373,Prayaan Capital,2016.0,Chennai,Finance,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000.0,Pre-series A,2020
374,Sanfe,2016.0,New Delhi,Health,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre-series A,2020
375,Go Desi,2018.0,New Delhi,Food & Beverages,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300.0,Pre-series A,2020
376,Swiggy,2014.0,Bangalore,Food & Beverages,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,113000000.0,Series A,2020
377,Whatfix,2014.0,Bangalore,Technology,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,32000000.0,Series C,2020
378,Unacademy,2010.0,Bangalore,Education,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Series E,2020
379,Yolo,2019.0,Gurgaon,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Pre-series A,2020
380,MaxWholesale,2016.0,New Delhi,Commerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series A,2020
381,Simsim,2016.0,Bangalore,Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series B,2020
382,Shuttl,2015.0,New Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,7975700.0,Series C,2020
383,Vedantu,2016.0,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,24000000.0,Series C,2020
384,Clover,2016.0,Bangalore,Agriculture,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",5500000.0,Series A,2020
385,CodingNinjas,2016.0,New Delhi,Education,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,5200000.0,Series A,2020
386,Furlenco,2011.0,Bangalore,Commerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,2200000.0,Series C,2020
387,MoEngage,2016.0,Bangalore,Commerce,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000.0,Series C,2020
388,Pepperfry,2013.0,Mumbai,Commerce,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,40000000.0,Series F,2020
389,FirstCry,2010.0,Pune,Commerce,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,296000000.0,Series E,2020
390,Waycool,2015.0,Chennai,Agriculture,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000.0,Series C,2020
391,Leap India,2016.0,Coimbatore,Agriculture,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,30000000.0,Series B,2020
392,Dot Pvt. Ltd,2016.0,Gurgaon,Finance,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"PayU, Fosun RZ Capital",8000000.0,Pre-series A,2020
393,Kuku FM,2016.0,Mumbai,Media & Entertainment,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,5500000.0,Series A,2020
394,SuperMoney,2018.0,Mumbai,Finance,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,1000000.0,Pre-series A,2020
395,Entri,2017.0,Kochi,Education,It is a app that provides different types of learning content in local languages,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,1400000.0,Pre-series A,2020
396,Doubtnut,2017.0,Gurgaon,Education,Multi-lingual digital solutions platform for students,"Tanushri Nagori, Aditya Shankar",Tencent,15000000.0,Series A,2020
397,Kisan Network,2015.0,Gurgaon,Agriculture,Integrated supply chain for farmers to sell their produce directly to buyers,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,3000000.0,Pre-series A,2020
398,Vogo,2016.0,Bangalore,Transport,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,35000000.0,Series C,2020
399,Yolo,2019.0,Gurgaon,Transport,Intercity transportation startup,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Pre-series A,2020
400,WizKlub,2018.0,Bangalore,Education,Helps students solve problems at complex level,Amit Bansal,Incubate Fund India,982530.0,Pre-series A,2020
401,Interviewbit,2014.0,Pune,Education,Platform that provides coding and interview preparation course by industry professionals from tech companies,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",200000000.0,Series A,2020
402,INdwealth,2016.0,Gurgaon,Finance,An Artificial Intelligence and Machine learning based wealth management platform,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners",12000000.0,Series C,2020
403,Bizongo,2015.0,Mumbai,Commerce,A B2B marketplace for packaging materials,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,30000000.0,Series C,2020
404,AppsFlyer,2011.0,Bangalore,Technology,Mobile marketing analytics and attribution platform,"Oren Kaniel, Reshef Mann",General Atlantic,210000000.0,Series D,2020
405,Livspace,2014.0,Bangalore,LifeStyle,It offers end-to-end home design experience for homeowners and home designers,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",60000000.0,Series D,2020
406,Samosa Singh,2016.0,Bangalore,Food & Beverages,Offers hygienic Indian Snacks,"Shikhar Veer Singh, Nidhi Singh",She Capital,2700000.0,Series A,2020
407,Crysta,2018.0,New Delhi,Health,Offers diagnostic and screening services with regular counselling and clinical data management,Unknown,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",1403400.0,Pre-series A,2020
408,Eupheus Learning,2017.0,New Delhi,Education,"Provides technology-led, subscription-based learning solutions to schools","Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,4300000.0,Series A,2020
409,Bounce,2014.0,Bangalore,Transport,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",105000000.0,Series D,2020
410,Goodmylk,2017.0,Bangalore,Agriculture,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000.0,Pre-series A,2020
411,Zoomcar,2013.0,Bangalore,Transport,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,30000000.0,Series D,2020
412,Mera Cashier,2019.0,Noida,Finance,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",250000.0,Pre-series A,2020
413,Monech,2016.0,Mumbai,Finance,Automated platform which will help users to take their financial decisions,Unknown,Angel investors,12700.0,Pre-series A,2020
414,Extra Edge,2016.0,Pune,Education,Admission Marketing Automation software for the education industry,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",700000.0,Pre-series A,2020
415,Karfa,2016.0,New Delhi,Commerce,It sells products crafted by artisans,Kartikeya Goel,Undisclosed,25000.0,Pre-series A,2020
416,Bounce,2014.0,Bangalore,Transport,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",97500000.0,Series D,2020
417,Zinier,2015.0,Bangalore,Manufacturing,Provides intelligent field service automation,Arka Dhar,ICONIQ Capital,90000000.0,Series C,2020
418,ProEves,2016.0,New Delhi,Health,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers","Divya Agarwal, Ketika Kapoor",1Crowd,507000.0,Pre-series A,2020
419,Ninjacart,2015.0,Bangalore,Commerce,Online grocery delivery platform,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",10000000.0,Series C,2020
420,Wysh,2019.0,Hyderabad,Commerce,Celebrity engagement and wishing platform,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,2000000.0,Series A,2020
421,Keito,2016.0,Pune,Technology,Enterprise productivity startup,Amal PS,Suma Soft Pvt Ltd,160000.0,Pre-series A,2020
422,Axio Biosolutions,2016.0,Bangalore,Education,Medical device manufacturer,Leo Mavely,Omidyar Network India,5200000.0,Series B,2020
423,HighRadius,2016.0,Hyderabad,Technology,"An AI-based platform, to automate accounts receivables and treasury processes.",Sashi Narahari,ICONIQ Capital,125000000.0,Series B,2020
424,Rivigo,2014.0,Gurgaon,Transport,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra",Trifecta Capital,3400000.0,Series F,2020
425,Super Surfaces,2016.0,Hyderabad,LifeStyle,A design solution based company,Kumar Varma,Vishnu Reddy,500000.0,Series A,2020
426,GoMechanic,2016.0,New Delhi,Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",14700000.0,Series B,2020
427,Fashor,2017.0,Chennai,Beauty & Fashion,Women’s fashion and apparel,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,1000000.0,Pre-series A,2020
428,Shuttl,2015.0,New Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,8043000.0,Series C,2020
429,Pando,2017.0,Chennai,Technology,Networked logistics management software,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,9000000.0,Series A,2020
430,Unbox Robotics,2019.0,Bangalore,aistartup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",3174000.0,Pre-series A,2021
431,Lead School,2012.0,Mumbai,Education,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",3174000.0,Series D,2021
432,Bizongo,2015.0,Mumbai,Commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",3174000.0,Series C,2021
433,FypMoney,2021.0,Gurgaon,Finance,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",3174000.0,Pre-series A,2021
434,Qube Health,2016.0,Mumbai,Health,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,3174000.0,Pre-series A,2021
435,Fitterfly,2016.0,Mumbai,Health,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",2000000.0,Pre-series A,2021
436,MyDentalPlan,2014.0,Bangalore,Health,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,3174000.0,Pre-series A,2021
437,ORAI,2020.0,Bangalore,itstartup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,7500000.0,Pre-series A,2021
438,ixamBee,2016.0,New Delhi,Education,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",3174000.0,Pre-series A,2021
439,CoinSwitch Kuber,2017.0,Bangalore,Finance,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",3174000.0,Series B,2021
440,Razorpay,2014.0,Bangalore,Finance,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",3174000.0,Series E,2021
441,Uable,2020.0,Bangalore,Education,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",3174000.0,Pre-series A,2021
442,ZFW Hospitality,2015.0,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",3174000.0,Pre-series A,2021
443,Optimized Electrotech,2017.0,Ahmedabad,Transport,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,3174000.0,Pre-series A,2021
444,Chara,2019.0,Bangalore,Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,10000000.0,Pre-series A,2021
445,Sirona Hygiene,2015.0,New Delhi,Health,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3174000.0,Series A,2021
446,Pristyn Care,2018.0,Gurgaon,Health,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",3174000.0,Series D,2021
447,TrulyMadly,2013.0,New Delhi,Media & Entertainment,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",3174000.0,Pre-series A,2021
448,Vidyakul,2018.0,Bangalore,Education,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",3174000.0,Pre-series A,2021
